region,Timeframe,Date,type,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
Plains,Weekly,5/31/2020,conventional,1.06,2995286,1178134,585252,2079,1229821,1083341,99397,47082
Plains,Weekly,5/24/2020,conventional,1.08,3005790,1193412,574563,2727,1235089,982579,180108,72401
Portland,Weekly,6/14/2020,conventional,1.04,924752,126994,101681,4306,691771,377070,287886,26816
Portland,Weekly,6/7/2020,conventional,1.13,958689,128938,85831,3654,740265,395146,315006,30113
Portland,Weekly,5/31/2020,conventional,1.07,975713,143810,92882,2944,736076,440651,266162,29263
Portland,Weekly,5/24/2020,conventional,1.17,937193,140744,84117,2287,710046,377681,304195,28170
Raleigh/Greensboro,Weekly,6/14/2020,conventional,1.16,529881,239137,81919,6592,202233,154660,47566,7
Raleigh/Greensboro,Weekly,6/7/2020,conventional,1.15,542332,251912,84492,6402,199526,151073,48450,3
Raleigh/Greensboro,Weekly,5/31/2020,conventional,1.12,551872,264138,82803,5089,199843,152679,47164,0
Raleigh/Greensboro,Weekly,5/24/2020,conventional,1.1,534769,252208,74018,5073,203470,163399,40062,9
Richmond/Norfolk,Weekly,6/14/2020,conventional,0.95,475688,158190,91803,1472,224223,174727,46595,2900
Richmond/Norfolk,Weekly,6/7/2020,conventional,1,474262,155503,106993,1470,210296,161839,43694,4764
Richmond/Norfolk,Weekly,5/31/2020,conventional,1.01,468684,158551,102053,1280,206800,158359,41778,6664
Richmond/Norfolk,Weekly,5/24/2020,conventional,1.01,477466,158593,90724,1246,226902,179338,40399,7164
Roanoke,Weekly,6/14/2020,conventional,0.88,283871,96068,29286,11,158507,133210,24670,626
Roanoke,Weekly,6/7/2020,conventional,0.95,264017,94265,34048,53,135651,108899,25634,1119
Roanoke,Weekly,5/31/2020,conventional,0.98,254616,97251,32317,38,125010,100983,22512,1514
Roanoke,Weekly,5/24/2020,conventional,0.95,270540,104078,27492,1,138968,115288,22013,1668
Sacramento,Weekly,6/14/2020,conventional,1.16,673737,189460,291961,7037,185279,107150,68551,9578
Sacramento,Weekly,6/7/2020,conventional,1.51,580120,164677,223588,7125,184729,98634,68341,17755
Sacramento,Weekly,5/31/2020,conventional,1.45,601456,179944,221457,5221,194833,102082,68243,24508
Sacramento,Weekly,5/24/2020,conventional,1.4,600699,189539,220375,2626,188159,105954,60861,21344
San Diego,Weekly,6/14/2020,conventional,1.18,686611,141417,26674,25113,493406,251028,169066,73313
San Diego,Weekly,6/7/2020,conventional,1.14,741694,143304,36186,40837,521368,258783,224054,38531
San Diego,Weekly,5/31/2020,conventional,1,858451,147409,42271,36369,632402,247816,326583,58004
San Diego,Weekly,5/24/2020,conventional,1.18,762301,160359,32202,16139,553601,280623,225289,47689
San Francisco,Weekly,6/14/2020,conventional,1.39,1139236,266351,319585,9668,543631,207752,271808,64071
San Francisco,Weekly,6/7/2020,conventional,1.56,1110795,228800,353618,10050,518327,192317,244163,81847
San Francisco,Weekly,5/31/2020,conventional,1.4,1201844,211713,382892,10766,596473,192523,319553,84397
San Francisco,Weekly,5/24/2020,conventional,1.48,1086816,240006,311849,5431,529530,199650,225610,104269
Seattle,Weekly,6/14/2020,conventional,1.35,800673,81288,115564,639,603182,302169,296497,4516
Seattle,Weekly,6/7/2020,conventional,1.45,772459,82934,107518,254,581753,253258,322790,5705
Seattle,Weekly,5/31/2020,conventional,1.3,812261,110064,92183,590,609423,386445,216460,6518
Seattle,Weekly,5/24/2020,conventional,1.46,759730,105236,101041,725,552729,309818,238844,4067
South Carolina,Weekly,6/14/2020,conventional,1.14,643568,291441,57899,2963,291265,226175,63821,1269
South Carolina,Weekly,6/7/2020,conventional,1.15,652932,313330,55398,4105,280100,227127,52910,64
South Carolina,Weekly,5/31/2020,conventional,1.17,659157,310512,55721,3782,289142,231711,57361,70
South Carolina,Weekly,5/24/2020,conventional,1.09,732273,318092,58417,2799,352965,292404,60462,99
South Central,Weekly,6/14/2020,conventional,0.82,9030036,3561353,770722,230168,4467793,3191748,1225435,50611
South Central,Weekly,6/7/2020,conventional,0.76,9696914,4060669,1022287,213389,4400570,2971767,1376613,52190
South Central,Weekly,5/31/2020,conventional,0.8,9938455,3434008,1138400,191084,5174964,3590859,1517432,66673
South Central,Weekly,5/24/2020,conventional,0.89,9862762,3871863,1023840,194128,4772931,3243470,1414173,115289
Southeast,Weekly,6/14/2020,conventional,1.09,6012693,2851277,234143,4520,2922753,2450011,458835,13908
Southeast,Weekly,6/7/2020,conventional,1.09,6096475,2979247,240639,5579,2871010,2433658,428065,9287
Southeast,Weekly,5/31/2020,conventional,1.12,6129930,3086929,249096,5285,2788620,2354481,422345,11794
Southeast,Weekly,5/24/2020,conventional,1.02,7021288,3407127,251720,4275,3358156,2899584,447539,11033
Spokane,Weekly,6/14/2020,conventional,1.22,136776,23944,14784,36,98012,52507,42613,2892
Spokane,Weekly,6/7/2020,conventional,1.34,133157,23849,12628,4,96675,50676,42569,3430
Spokane,Weekly,5/31/2020,conventional,1.19,139895,25130,12639,78,102046,65957,33046,3043
Spokane,Weekly,5/24/2020,conventional,1.33,130531,24229,12812,28,93462,51718,38931,2812
St. Louis,Weekly,6/14/2020,conventional,1,292955,131191,15546,316,145902,134155,2192,9556
St. Louis,Weekly,6/7/2020,conventional,0.97,310260,147158,16459,283,146360,135735,2009,8615
St. Louis,Weekly,5/31/2020,conventional,0.96,319975,160162,12561,229,147023,138022,2117,6884
St. Louis,Weekly,5/24/2020,conventional,1.03,289037,133261,17030,242,138505,118330,2538,17636
Syracuse,Weekly,6/14/2020,conventional,1.05,134244,13192,61665,1054,58333,45851,10029,2453
Syracuse,Weekly,6/7/2020,conventional,1.07,126874,9867,45731,1064,70211,45481,22287,2443
Syracuse,Weekly,5/31/2020,conventional,1.32,130264,12121,55302,1051,61790,47849,11932,2010
Syracuse,Weekly,5/24/2020,conventional,1.27,123890,11944,46576,1112,64258,49620,12883,1756
Tampa,Weekly,6/14/2020,conventional,1.12,610327,273354,18876,172,317925,247961,69961,3
Tampa,Weekly,6/7/2020,conventional,1.06,605674,273395,17919,168,314192,245119,69037,36
Tampa,Weekly,5/31/2020,conventional,1.13,595922,289142,18962,142,287677,220598,67049,29
Tampa,Weekly,5/24/2020,conventional,1.03,691449,362143,19940,104,309262,238369,70878,14
Total U.S.,Weekly,6/14/2020,conventional,1.06,55007945,15510458,11019342,978710,27499330,17969207,8331756,1198367
Total U.S.,Weekly,6/7/2020,conventional,1.08,54532348,16718884,9757798,1100945,26954602,17522596,8376733,1055273
Total U.S.,Weekly,5/31/2020,conventional,1.07,57509313,16286759,11346382,887011,28989020,18664351,9081422,1243247
Total U.S.,Weekly,5/24/2020,conventional,1.11,56769152,17107525,9947892,854508,28858999,18426503,9218375,1214120
West,Weekly,6/14/2020,conventional,0.99,9218565,1957636,1161223,42599,6057004,2741503,3125852,189648
West,Weekly,6/7/2020,conventional,1.08,8772768,2134795,1045471,36268,5556115,2593768,2781808,180540
West,Weekly,5/31/2020,conventional,1,9455357,2337862,1084705,29913,6002734,3093637,2750371,158726
West,Weekly,5/24/2020,conventional,1.03,9731832,2135155,1176519,33923,6386017,2702550,3518073,165394
West Tex/New Mexico,Weekly,6/14/2020,conventional,0.77,1353163,450137,94203,48207,760616,567026,191859,1731
West Tex/New Mexico,Weekly,6/7/2020,conventional,0.82,1168419,449502,86549,32352,600016,393296,205104,1616
West Tex/New Mexico,Weekly,5/31/2020,conventional,0.84,1289226,415950,121722,18695,732859,455012,276421,1426
West Tex/New Mexico,Weekly,5/24/2020,conventional,0.84,1392438,482757,140335,21199,748147,419451,326088,2608
Albany,Weekly,6/14/2020,organic,1.58,3166,51,357,0,2758,1613,1145,0
Albany,Weekly,6/7/2020,organic,1.65,3870,223,483,22,3142,1656,1486,0
Albany,Weekly,5/31/2020,organic,1.57,3674,116,429,1,3128,1549,1579,0
Albany,Weekly,5/24/2020,organic,1.64,3955,130,506,0,3319,1787,1532,0
Atlanta,Weekly,6/14/2020,organic,1.5,46316,250,3208,0,42858,10767,32091,0
Atlanta,Weekly,6/7/2020,organic,1.61,46534,297,2617,0,43620,9694,33926,0
Atlanta,Weekly,5/31/2020,organic,1.61,45989,473,2830,0,42687,8888,33799,0
Atlanta,Weekly,5/24/2020,organic,1.49,44682,373,3322,0,40986,9460,31526,0
Baltimore/Washington,Weekly,6/14/2020,organic,1.79,53704,426,6869,33,46376,42884,3492,0
Baltimore/Washington,Weekly,6/7/2020,organic,1.65,61276,487,5918,24,54847,51257,3590,0
Baltimore/Washington,Weekly,5/31/2020,organic,1.63,60903,430,6172,13,54288,51457,2830,0
Baltimore/Washington,Weekly,5/24/2020,organic,1.38,68830,570,5798,4,62459,57938,4520,0
Boise,Weekly,6/14/2020,organic,1.7,7967,4,1117,0,6846,3090,3755,0
Boise,Weekly,6/7/2020,organic,1.79,7428,0,875,1,6551,2188,4363,0
Boise,Weekly,5/31/2020,organic,1.76,7019,3,628,0,6388,2541,3847,0
Boise,Weekly,5/24/2020,organic,1.78,7789,4,639,3,7144,2129,5015,0
Boston,Weekly,6/14/2020,organic,1.98,43987,147,2706,0,41135,39267,1868,0
Boston,Weekly,6/7/2020,organic,2.02,39892,113,3251,0,36528,34667,1861,0
Boston,Weekly,5/31/2020,organic,2.02,42849,170,2897,0,39782,37626,2157,0
Boston,Weekly,5/24/2020,organic,2.03,47123,49,2634,4,44436,42637,1799,0
Buffalo/Rochester,Weekly,6/14/2020,organic,1.59,2323,693,175,0,1456,1456,0,0
Buffalo/Rochester,Weekly,6/7/2020,organic,1.19,4257,805,200,0,3252,3249,3,0
Buffalo/Rochester,Weekly,5/31/2020,organic,1.17,4997,966,198,4,3829,3829,0,0
Buffalo/Rochester,Weekly,5/24/2020,organic,1.2,4345,874,289,0,3182,3182,0,0
California,Weekly,6/14/2020,organic,1.82,403721,36201,27213,103,340205,186548,153657,0
California,Weekly,6/7/2020,organic,1.83,407543,45119,23436,66,338922,193680,145242,0
California,Weekly,5/31/2020,organic,1.8,381607,43883,24946,82,312695,191433,121263,0
California,Weekly,5/24/2020,organic,1.84,450992,35537,23071,63,392321,231234,161087,0
Charlotte,Weekly,6/14/2020,organic,1.55,21854,140,4590,42,17082,11035,6047,0
Charlotte,Weekly,6/7/2020,organic,1.56,23073,157,4944,42,17931,9821,8109,0
Charlotte,Weekly,5/31/2020,organic,1.57,22253,146,4942,74,17090,6783,10307,0
Charlotte,Weekly,5/24/2020,organic,1.54,21542,79,4702,54,16707,10946,5761,0
Chicago,Weekly,6/14/2020,organic,1.76,81448,995,6599,0,73853,19483,54371,0
Chicago,Weekly,6/7/2020,organic,1.81,60502,788,4039,0,55674,13092,42582,0
Chicago,Weekly,5/31/2020,organic,1.76,64304,996,4834,0,58474,11168,47306,0
Chicago,Weekly,5/24/2020,organic,1.55,87366,1046,5436,0,80884,11457,69427,0
Cincinnati/Dayton,Weekly,6/14/2020,organic,1.52,26564,137,3129,0,23299,4071,19228,0
Cincinnati/Dayton,Weekly,6/7/2020,organic,1.47,27550,190,3332,0,24028,3292,20736,0
Cincinnati/Dayton,Weekly,5/31/2020,organic,1.55,25566,191,3242,0,22133,2440,19693,0
Cincinnati/Dayton,Weekly,5/24/2020,organic,1.62,21274,182,2666,0,18427,3333,15094,0
Columbus,Weekly,6/14/2020,organic,1.3,18445,792,1102,0,16551,6831,9720,0
Columbus,Weekly,6/7/2020,organic,1.27,20021,703,1275,0,18042,7163,10879,0
Columbus,Weekly,5/31/2020,organic,1.29,20108,920,1260,0,17927,7489,10439,0
Columbus,Weekly,5/24/2020,organic,1.3,17497,904,1041,0,15552,6859,8693,0
Dallas/Ft. Worth,Weekly,6/14/2020,organic,1.24,59782,3808,321,436,55217,38186,17031,0
Dallas/Ft. Worth,Weekly,6/7/2020,organic,1.28,61572,5076,245,529,55722,40356,15365,0
Dallas/Ft. Worth,Weekly,5/31/2020,organic,1.26,59144,5501,272,213,53157,38592,14565,0
Dallas/Ft. Worth,Weekly,5/24/2020,organic,1.2,55672,4379,229,248,50815,32333,18482,0
Denver,Weekly,6/14/2020,organic,1.27,59359,6708,1811,3,50837,27176,23660,0
Denver,Weekly,6/7/2020,organic,1.33,69149,6260,1975,2,60911,34046,26865,0
Denver,Weekly,5/31/2020,organic,1.46,56181,4472,1777,3,49929,29886,20043,0
Denver,Weekly,5/24/2020,organic,1.35,48358,3504,1632,2,43220,19986,23234,0
Detroit,Weekly,6/14/2020,organic,1.49,30462,389,2334,7,27714,6247,21467,0
Detroit,Weekly,6/7/2020,organic,1.44,32202,467,2939,0,28792,3958,24834,0
Detroit,Weekly,5/31/2020,organic,1.46,32640,555,2939,0,29146,5002,24143,0
Detroit,Weekly,5/24/2020,organic,1.5,26897,1409,2138,0,23328,3578,19750,0
Grand Rapids,Weekly,6/14/2020,organic,1.54,10071,44,1877,0,8149,8076,74,0
Grand Rapids,Weekly,6/7/2020,organic,1.55,10305,31,1703,0,8571,8458,113,0
Grand Rapids,Weekly,5/31/2020,organic,1.57,10404,34,1629,0,8742,8659,83,0
Grand Rapids,Weekly,5/24/2020,organic,1.53,8701,104,1050,0,7548,7501,47,0
Great Lakes,Weekly,6/14/2020,organic,1.55,290084,6618,23935,8,259504,95960,163544,0
Great Lakes,Weekly,6/7/2020,organic,1.5,282160,5990,22534,0,253632,91375,162257,0
Great Lakes,Weekly,5/31/2020,organic,1.5,288795,7522,23244,0,258029,93926,164103,0
Great Lakes,Weekly,5/24/2020,organic,1.48,286395,8332,19893,5,258141,91570,166571,0
Harrisburg/Scranton,Weekly,6/14/2020,organic,1.45,12306,417,618,0,11272,11191,80,0
Harrisburg/Scranton,Weekly,6/7/2020,organic,1.26,16742,647,495,0,15600,15489,110,0
Harrisburg/Scranton,Weekly,5/31/2020,organic,1.25,15344,613,603,0,14128,14029,99,0
Harrisburg/Scranton,Weekly,5/24/2020,organic,1.28,17406,805,553,0,16048,15834,214,0
Hartford/Springfield,Weekly,6/14/2020,organic,2.08,21916,474,9620,3,11820,11804,15,0
Hartford/Springfield,Weekly,6/7/2020,organic,2.13,22500,895,11351,3,10252,10038,214,0
Hartford/Springfield,Weekly,5/31/2020,organic,2.16,19331,607,10543,1,8180,8008,172,0
Hartford/Springfield,Weekly,5/24/2020,organic,2.11,20633,1221,9868,0,9544,9371,173,0
Houston,Weekly,6/14/2020,organic,1.31,36182,4130,2,0,32050,15488,16561,0
Houston,Weekly,6/7/2020,organic,1.28,38045,5182,11,0,32852,16351,16501,0
Houston,Weekly,5/31/2020,organic,1.24,36429,5360,23,2,31044,14844,16200,0
Houston,Weekly,5/24/2020,organic,1.28,36588,5352,11,0,31225,13214,18012,0
Indianapolis,Weekly,6/14/2020,organic,1.48,13217,307,1030,0,11880,3699,8181,0
Indianapolis,Weekly,6/7/2020,organic,1.45,13518,357,1178,0,11984,2826,9158,0
Indianapolis,Weekly,5/31/2020,organic,1.47,13318,362,1297,0,11659,3323,8336,0
Indianapolis,Weekly,5/24/2020,organic,1.53,10950,250,805,0,9895,2481,7414,0
Jacksonville,Weekly,6/14/2020,organic,1.27,4834,102,303,0,4429,4429,0,0
Jacksonville,Weekly,6/7/2020,organic,1.26,5048,166,251,0,4631,4631,0,0
Jacksonville,Weekly,5/31/2020,organic,1.35,3729,302,314,0,3113,3113,0,0
Jacksonville,Weekly,5/24/2020,organic,1.31,5031,247,296,0,4488,4488,0,0
Las Vegas,Weekly,6/14/2020,organic,1.5,16833,777,514,0,15543,8383,7160,0
Las Vegas,Weekly,6/7/2020,organic,1.48,15324,757,497,0,14070,5476,8595,0
Las Vegas,Weekly,5/31/2020,organic,1.48,16630,854,565,0,15210,4847,10363,0
Las Vegas,Weekly,5/24/2020,organic,1.5,19807,762,549,0,18496,9110,9387,0
Los Angeles,Weekly,6/14/2020,organic,1.73,198419,9592,2341,14,186472,74195,112277,0
Los Angeles,Weekly,6/7/2020,organic,1.68,201582,10007,2284,26,189265,80829,108436,0
Los Angeles,Weekly,5/31/2020,organic,1.64,189144,9876,2540,11,176717,86603,90113,0
Los Angeles,Weekly,5/24/2020,organic,1.69,229258,11139,3086,45,214989,93798,121192,0
Louisville,Weekly,6/14/2020,organic,1.2,13468,0,1005,0,12462,4412,8051,0
Louisville,Weekly,6/7/2020,organic,1.25,12671,6,1010,0,11655,3828,7827,0
Louisville,Weekly,5/31/2020,organic,1.2,13361,3,1167,0,12190,4270,7920,0
Louisville,Weekly,5/24/2020,organic,1.2,13185,7,985,0,12193,5114,7079,0
Miami/Ft. Lauderdale,Weekly,6/14/2020,organic,1.23,16203,391,1,0,15811,15511,300,0
Miami/Ft. Lauderdale,Weekly,6/7/2020,organic,1.26,17335,540,0,0,16794,16794,0,0
Miami/Ft. Lauderdale,Weekly,5/31/2020,organic,1.37,18577,1436,14,0,17128,17128,0,0
Miami/Ft. Lauderdale,Weekly,5/24/2020,organic,1.34,19681,1291,6,0,18384,18381,3,0
Midsouth,Weekly,6/14/2020,organic,1.44,309589,2979,36691,201,269719,150687,119032,0
Midsouth,Weekly,6/7/2020,organic,1.44,315280,2896,34948,219,277217,153434,123783,0
Midsouth,Weekly,5/31/2020,organic,1.44,303419,2959,34926,312,265222,143147,122074,0
Midsouth,Weekly,5/24/2020,organic,1.37,323658,2980,36039,264,284375,183672,100703,0
Nashville,Weekly,6/14/2020,organic,1.36,24447,78,1533,0,22835,4072,18763,0
Nashville,Weekly,6/7/2020,organic,1.45,22262,114,1488,0,20660,1900,18760,0
Nashville,Weekly,5/31/2020,organic,1.42,22808,51,1564,0,21192,1644,19548,0
Nashville,Weekly,5/24/2020,organic,1.43,20472,94,1712,0,18666,3013,15653,0
New Orleans/Mobile,Weekly,6/14/2020,organic,1.43,5302,156,0,0,5147,5147,0,0
New Orleans/Mobile,Weekly,6/7/2020,organic,1.42,6407,630,0,0,5777,5737,40,0
New Orleans/Mobile,Weekly,5/31/2020,organic,1.42,5495,330,0,0,5165,5165,0,0
New Orleans/Mobile,Weekly,5/24/2020,organic,1.37,4605,406,0,0,4199,4199,0,0
New York,Weekly,6/14/2020,organic,1.92,119894,9178,19919,1885,88913,87434,1477,2
New York,Weekly,6/7/2020,organic,1.86,127407,18479,20971,713,87244,84264,2980,0
New York,Weekly,5/31/2020,organic,1.86,115848,14029,18236,193,83390,80096,3294,0
New York,Weekly,5/24/2020,organic,1.83,147717,19919,20112,297,107390,104168,3222,0
Northeast,Weekly,6/14/2020,organic,1.83,303482,18234,42084,1675,241489,221545,19943,2
Northeast,Weekly,6/7/2020,organic,1.76,338598,32193,47685,683,258036,234137,23899,0
Northeast,Weekly,5/31/2020,organic,1.75,324027,26558,44481,180,252808,226189,26619,0
Northeast,Weekly,5/24/2020,organic,1.75,373973,35648,44732,270,293323,267509,25813,0
Northern New England,Weekly,6/14/2020,organic,1.73,32619,170,628,0,31821,18726,13094,0
Northern New England,Weekly,6/7/2020,organic,1.76,34923,171,813,0,33940,20219,13721,0
Northern New England,Weekly,5/31/2020,organic,1.77,39600,128,1274,0,38198,22418,15780,0
Northern New England,Weekly,5/24/2020,organic,1.78,39999,52,1090,0,38857,23902,14956,0
Orlando,Weekly,6/14/2020,organic,1.19,13241,60,0,0,13181,13181,0,0
Orlando,Weekly,6/7/2020,organic,1.19,14563,119,0,0,14444,14444,0,0
Orlando,Weekly,5/31/2020,organic,1.18,14352,220,0,0,14132,14132,0,0
Orlando,Weekly,5/24/2020,organic,1.18,15305,294,0,0,15012,15012,0,0
Philadelphia,Weekly,6/14/2020,organic,1.77,26192,1902,4920,0,19369,17493,1876,0
Philadelphia,Weekly,6/7/2020,organic,1.78,30769,4135,5303,18,21313,18695,2618,0
Philadelphia,Weekly,5/31/2020,organic,1.78,29139,3412,5777,0,19949,17137,2812,0
Philadelphia,Weekly,5/24/2020,organic,1.75,34192,4439,5083,0,24670,21848,2822,0
Phoenix/Tucson,Weekly,6/14/2020,organic,1.47,28524,1758,1583,0,25183,13794,11389,0
Phoenix/Tucson,Weekly,6/7/2020,organic,1.45,27210,2177,1759,0,23274,10475,12799,0
Phoenix/Tucson,Weekly,5/31/2020,organic,1.44,29538,2258,2256,0,25023,10153,14870,0
Phoenix/Tucson,Weekly,5/24/2020,organic,1.47,30699,2455,1326,0,26918,12320,14598,0
Pittsburgh,Weekly,6/14/2020,organic,1.39,15386,2486,12,0,12888,12877,11,0
Pittsburgh,Weekly,6/7/2020,organic,1.19,22845,2139,5,0,20702,20673,29,0
Pittsburgh,Weekly,5/31/2020,organic,1.18,22275,3265,3,0,19006,18989,17,0
Pittsburgh,Weekly,5/24/2020,organic,1.15,21744,2671,8,0,19065,18958,106,0
Plains,Weekly,6/14/2020,organic,1.52,68476,9683,3790,17,54986,42162,12824,0
Plains,Weekly,6/7/2020,organic,1.51,74444,10963,4030,51,59400,48195,11206,0
Plains,Weekly,5/31/2020,organic,1.51,78390,13256,3813,210,61111,50667,10444,0
Plains,Weekly,5/24/2020,organic,1.43,92545,23347,5940,667,62591,52822,9770,0
Portland,Weekly,6/14/2020,organic,1.7,56997,502,9635,2,46859,14666,32192,0
Portland,Weekly,6/7/2020,organic,1.83,62477,299,7074,0,55105,13326,41779,0
Portland,Weekly,5/31/2020,organic,1.83,55317,388,6545,0,48384,12383,36001,0
Portland,Weekly,5/24/2020,organic,1.85,56748,392,7059,0,49297,11721,37576,0
Raleigh/Greensboro,Weekly,6/14/2020,organic,1.51,28968,997,5100,83,22789,14850,7939,0
Raleigh/Greensboro,Weekly,6/7/2020,organic,1.49,30098,910,5056,79,24054,15202,8852,0
Raleigh/Greensboro,Weekly,5/31/2020,organic,1.53,26747,970,4992,103,20681,12685,7996,0
Raleigh/Greensboro,Weekly,5/24/2020,organic,1.5,28174,860,5076,87,22150,18123,4028,0
Richmond/Norfolk,Weekly,6/14/2020,organic,1.37,21098,26,2332,7,18733,8421,10312,0
Richmond/Norfolk,Weekly,6/7/2020,organic,1.42,20021,25,2168,9,17818,7365,10453,0
Richmond/Norfolk,Weekly,5/31/2020,organic,1.44,19151,24,2055,24,17048,7454,9594,0
Richmond/Norfolk,Weekly,5/24/2020,organic,1.42,20621,59,2511,8,18043,10766,7277,0
Roanoke,Weekly,6/14/2020,organic,1.2,21051,19,2052,0,18980,8057,10924,0
Roanoke,Weekly,6/7/2020,organic,1.26,20395,31,1535,0,18830,7749,11080,0
Roanoke,Weekly,5/31/2020,organic,1.29,18869,26,1365,0,17479,7030,10449,0
Roanoke,Weekly,5/24/2020,organic,1.26,20191,21,1816,0,18353,8658,9695,0
Sacramento,Weekly,6/14/2020,organic,1.84,18896,3915,3910,11,11061,11056,4,0
Sacramento,Weekly,6/7/2020,organic,1.91,20678,6377,3998,0,10303,10283,20,0
Sacramento,Weekly,5/31/2020,organic,1.89,20693,6428,4005,8,10252,10252,0,0
Sacramento,Weekly,5/24/2020,organic,1.91,20458,4061,3482,0,12915,12913,2,0
San Diego,Weekly,6/14/2020,organic,1.85,40888,1197,1109,0,38582,10479,28103,0
San Diego,Weekly,6/7/2020,organic,1.97,37644,1073,968,10,35593,11033,24560,0
San Diego,Weekly,5/31/2020,organic,1.88,36061,1399,1061,10,33591,12711,20880,0
San Diego,Weekly,5/24/2020,organic,1.98,41829,1445,1121,2,39260,13284,25977,0
San Francisco,Weekly,6/14/2020,organic,1.96,75204,12314,8717,28,54145,53484,660,0
San Francisco,Weekly,6/7/2020,organic,1.97,77302,14680,7293,26,55303,54597,706,0
San Francisco,Weekly,5/31/2020,organic,1.97,70495,14006,7900,28,48561,48158,403,0
San Francisco,Weekly,5/24/2020,organic,2.01,83161,10480,6519,10,66152,66057,95,0
Seattle,Weekly,6/14/2020,organic,1.92,70433,589,11437,22,58385,9560,48825,0
Seattle,Weekly,6/7/2020,organic,1.96,71925,632,13052,0,58242,2637,55604,0
Seattle,Weekly,5/31/2020,organic,1.98,70627,625,13791,0,56211,4145,52066,0
Seattle,Weekly,5/24/2020,organic,1.97,75233,976,13755,0,60501,7321,53177,3
South Carolina,Weekly,6/14/2020,organic,1.5,33131,736,4608,47,27739,14206,13533,0
South Carolina,Weekly,6/7/2020,organic,1.53,31862,662,3973,80,27147,6547,20600,0
South Carolina,Weekly,5/31/2020,organic,1.56,30360,917,4027,44,25371,4076,21295,0
South Carolina,Weekly,5/24/2020,organic,1.49,31768,762,3981,47,26978,9827,17151,0
South Central,Weekly,6/14/2020,organic,1.34,236026,14571,3113,4412,213931,140449,73482,0
South Central,Weekly,6/7/2020,organic,1.36,245194,20357,2632,4614,217590,147840,69750,0
South Central,Weekly,5/31/2020,organic,1.33,236150,20856,2958,2621,209714,141023,68691,0
South Central,Weekly,5/24/2020,organic,1.31,232141,18526,3148,2925,207541,123839,83702,0
Southeast,Weekly,6/14/2020,organic,1.36,183323,2140,10056,46,171081,110368,60714,0
Southeast,Weekly,6/7/2020,organic,1.4,188771,2834,8821,69,177047,105283,71763,0
Southeast,Weekly,5/31/2020,organic,1.42,182341,5128,8949,39,168225,95059,73166,0
Southeast,Weekly,5/24/2020,organic,1.37,189057,5573,9719,40,173725,109871,63854,0
Spokane,Weekly,6/14/2020,organic,1.73,8372,57,943,0,7372,1788,5584,0
Spokane,Weekly,6/7/2020,organic,1.88,8658,36,697,0,7925,1023,6902,0
Spokane,Weekly,5/31/2020,organic,1.91,7642,25,1105,0,6511,1149,5362,0
Spokane,Weekly,5/24/2020,organic,1.99,8925,73,770,0,8082,3255,4828,0
St. Louis,Weekly,6/14/2020,organic,1.96,9948,1041,2031,1,6874,4202,2672,0
St. Louis,Weekly,6/7/2020,organic,2.09,9162,1274,2107,0,5781,3114,2666,0
St. Louis,Weekly,5/31/2020,organic,2.03,8489,1355,1602,0,5532,3421,2111,0
St. Louis,Weekly,5/24/2020,organic,2.03,8461,1285,1549,0,5626,3496,2131,0
Syracuse,Weekly,6/14/2020,organic,1.63,1696,221,81,0,1394,1137,257,0
Syracuse,Weekly,6/7/2020,organic,1.68,1867,345,116,0,1406,1016,390,0
Syracuse,Weekly,5/31/2020,organic,1.66,1931,317,128,0,1486,1105,381,0
Syracuse,Weekly,5/24/2020,organic,1.67,2157,425,150,0,1582,1153,429,0
Tampa,Weekly,6/14/2020,organic,1.2,12823,244,0,0,12579,12579,0,0
Tampa,Weekly,6/7/2020,organic,1.2,13864,321,0,0,13543,13543,0,0
Tampa,Weekly,5/31/2020,organic,1.21,14349,494,2,0,13853,13853,0,0
Tampa,Weekly,5/24/2020,organic,1.23,15526,949,0,0,14577,14577,0,0
Total U.S.,Weekly,6/14/2020,organic,1.59,2192761,108037,184227,7759,1892718,1099094,793622,2
Total U.S.,Weekly,6/7/2020,organic,1.59,2268714,139122,179556,7020,1943011,1114499,828512,0
Total U.S.,Weekly,5/31/2020,organic,1.59,2182589,136497,179966,4366,1861760,1077348,784411,1
Total U.S.,Weekly,5/24/2020,organic,1.59,2345443,144844,178455,5449,2016671,1197701,818967,3
West,Weekly,6/14/2020,organic,1.6,398059,17612,37345,1298,341803,151375,190428,0
West,Weekly,6/7/2020,organic,1.65,416725,18770,35471,1318,361167,140555,220613,0
West,Weekly,5/31/2020,organic,1.69,387861,16335,36649,921,333956,135903,198051,1
West,Weekly,5/24/2020,organic,1.69,396682,14899,35913,1215,344654,137184,207467,3
West Tex/New Mexico,Weekly,6/14/2020,organic,1.65,34792,933,1124,3274,29461,24833,4629,0
West Tex/New Mexico,Weekly,6/7/2020,organic,1.67,33257,881,1126,3202,28048,21960,6087,0
West Tex/New Mexico,Weekly,5/31/2020,organic,1.61,32540,1038,1100,2224,28178,21605,6573,0
West Tex/New Mexico,Weekly,5/24/2020,organic,1.61,36906,800,1241,2647,32219,25595,6624,0
Albany,Weekly,7/12/2020,conventional,1.48,158747.18,7553.38,124381.69,346.11,26466,17392.83,7333.17,1740
